GRIDCODE,CVIDE,Fb,Area VEGxCELDA,AREA ENTIDADxMUN
200698,16054,0.065964194,3649751.32,55329279.06
200698,16071,0.005484643,490491.41,89429953.78
200699,16054,0.001821853,100801.81,55329279.06
200701,16054,0.066014851,3652554.14,55329279.06
200702,16054,0.089854742,4971598.07,55329279.06
200703,16054,0.111588974,6174137.46,55329279.06
200703,16054,0.000164711,9113.33,55329279.06
200704,16036,0.111082853,857780.56,7721988.956
200704,16036,4.617E-07,3.57,7721988.956
200704,16054,0.078549288,4346075.49,55329279.06
200704,16054,0.003059176,169262.00,55329279.06
200705,16036,0.007901714,61016.95,7721988.956
200705,16054,1.13868E-06,63.00,55329279.06
200725,11002,0.023741455,1639840.91,69070783.02
200726,11002,0.120801859,8343879.01,69070783.02
200727,11002,0.130301114,9000000.00,69070783.02
200728,11002,0.034876599,2408953.99,69070783.02
200728,11002,0.168148083,5818143.44,34601307.04
200729,16050,4.84505E-05,5211.65,107566540.1
200729,11002,0.145515054,5035011.07,34601307.04
200730,16050,0.025521818,2745293.63,107566540.1
200730,11038,0.006955246,122945.84,17676705.73
200730,11002,0.019310795,668178.75,34601307.04
200731,16050,0.012999834,1398347.15,107566540.1
200731,16050,0.000242419,26076.21,107566540.1
200731,11038,0.109691511,1938984.57,17676705.73
200731,11038,0.026865764,474898.21,17676705.73
200732,16050,0.000565813,60862.50,107566540.1
200732,11038,0.135566485,2396368.87,17676705.73
200737,16050,0.016257088,2167987.28,133356431.1
200737,16050,0.009030668,1204297.71,133356431.1
200737,11019,0.021245885,2492247.43,117304949.2
200738,16050,0.033873267,4517218.01,133356431.1
200738,16050,0.017519992,2336403.59,133356431.1
200738,16031,0.013441796,585535.48,43560806.32
200738,11019,0.00935931,1097893.44,117304949.2
200739,16050,0.032010531,4268810.12,133356431.1
200739,16050,0.002176766,234147.24,107566540.1
200739,16050,0.029528698,3937841.73,133356431.1
200739,16031,0.012837249,559200.92,43560806.32
200740,16050,0.001142807,152400.61,133356431.1
200740,16050,0.038845549,4178481.34,107566540.1
200740,16050,0.03501232,4669118.05,133356431.1
200741,16050,0.0056803,611010.22,107566540.1
200741,16050,0.03855055,5140963.82,133356431.1
200741,16017,0.043396155,3248025.96,74845937.89
200742,16017,0.120247007,9000000.00,74845937.89
200743,16017,0.061066735,4570597.06,74845937.89
200745,16017,0.055763034,4173636.58,74845937.89
200746,15085,0.03103773,2417410.16,77886177.79
200746,16017,0.087948525,6582589.84,74845937.89
200747,15085,0.054778925,4266521.07,77886177.79
200751,15001,0.00198921,282037.59,141783715.8
200752,15001,0.019804894,2808011.41,141783715.8
200753,15001,0.023862192,3383270.29,141783715.8
200754,15001,0.013899782,1970762.70,141783715.8
200755,15001,0.001078479,152910.69,141783715.8
200756,15001,0.019997701,2835348.34,141783715.8
200757,15001,0.06226369,8827977.30,141783715.8
200758,15001,0.021776609,3087568.50,141783715.8
200762,15045,0.009710531,596317.58,61409369.41
201737,16094,0.088861195,3814481.68,42926292.69
201739,16094,0.069812364,2039164.61,29209218.86
201740,16094,0.134116667,3917443.07,29209218.86
201740,16094,0.012712827,545714.55,42926292.69
201741,16094,0.006541857,280817.66,42926292.69
201743,16067,0.239115439,5646334.97,23613427.03
201744,16067,0.113254229,2674320.46,23613427.03
201753,16071,0.067795608,4636630.39,68391309.36
201754,16071,0.105559101,7219325.11,68391309.36
201755,16071,0.130457596,8922165.82,68391309.36
201756,16071,0.052895515,3617593.55,68391309.36
201756,16071,0.042546224,3804906.84,89429953.78
201757,16054,0.026553128,1469165.41,55329279.06
201757,16071,0.081328972,7273246.22,89429953.78
201758,16054,0.000280641,15527.68,55329279.06
201758,16071,0.037602107,3362754.67,89429953.78
201759,16054,0.016230144,898002.14,55329279.06
201759,16071,0.004363532,390230.50,89429953.78
201760,16054,0.018146489,1004032.17,55329279.06
201760,16071,0.000941015,84154.96,89429953.78
201762,16054,0.271029257,1779727.61,6566551.646
201763,16036,5.98732E-06,29.84,4983437.062
201763,16054,0.394620774,2591297.69,6566551.646
201764,16036,0.227206731,1132270.45,4983437.062
201764,16054,0.039947603,262318.00,6566551.646
201765,16036,0.065949672,328656.04,4983437.062
201765,11021,5.33296E-06,198.18,37161580.65
201766,16036,0.049813878,248244.32,4983437.062
201785,11002,0.018696321,1291369.56,69070783.02
201786,11002,0.100123078,6915579.43,69070783.02
201787,11002,0.01362143,940842.85,69070783.02
201795,11019,0.00175019,205305.93,117304949.2
201796,11019,0.058445332,6855926.67,117304949.2
201797,16031,0.011805131,514241.04,43560806.32
201797,11019,0.008806427,1033037.52,117304949.2
201798,16050,0.004310509,574834.05,133356431.1
201798,16017,0.069982145,5237879.24,74845937.89
201798,16031,0.067260443,2929919.12,43560806.32
201799,16050,0.00421315,561850.68,133356431.1
201799,16050,0.022764973,2448749.37,107566540.1
201799,16017,0.021308771,1594874.97,74845937.89
201799,16017,0.371402826,4394524.97,11832233.54
201800,16050,0.013219898,1422018.71,107566540.1
201800,16050,0.001700864,226821.19,133356431.1
201800,16017,0.184604194,2184279.94,11832233.54
201800,16017,0.061683762,4616779.01,74845937.89
201801,16017,0.108110089,8091601.01,74845937.89
201802,16017,0.011867317,888220.46,74845937.89
201804,15085,0.01055758,822289.57,77886177.79
201804,16017,0.065742253,4920540.60,74845937.89
201805,15085,0.02585602,2013826.56,77886177.79
201805,16017,0.067058016,5019020.12,74845937.89
201806,15085,0.006736624,524689.90,77886177.79
201806,16017,0.00128943,96508.58,74845937.89
201809,15001,0.026881418,3811347.36,141783715.8
201810,15001,0.061614549,8735939.65,141783715.8
201811,15001,0.057193996,8109177.30,141783715.8
201812,15001,0.063476965,9000000.00,141783715.8
201813,15001,0.063476965,9000000.00,141783715.8
201814,15003,0.026678209,1566250.52,58708982.08
201814,15001,0.036026833,5108018.24,141783715.8
201815,15003,4.69332E-05,2755.40,58708982.08
201815,15001,0.002682048,380270.68,141783715.8
201816,15003,6.53189E-05,3834.80,58708982.08
201816,15001,0.040241441,5705580.98,141783715.8
202796,16094,0.104981639,3066431.67,29209218.86
202796,16094,0.002142902,91986.84,42926292.69
202796,16028,0.039434544,2030963.67,51502146.66
202798,16094,0.16055344,4689640.56,29209218.86
202798,16028,0.040316253,2076373.58,51502146.66
202799,16094,0.123178944,3597960.74,29209218.86
202799,16028,0.024813843,1277966.17,51502146.66
202813,16071,0.009494568,649345.96,68391309.36
202814,16071,0.111867978,7650797.47,68391309.36
202815,16071,0.111046601,7594622.42,68391309.36
202815,16071,0.001952823,174640.90,89429953.78
202816,16071,0.0070698,483512.89,68391309.36
202816,16071,0.091740722,8204368.49,89429953.78
202817,16071,0.099932431,8936952.71,89429953.78
202818,16054,0.017033398,942445.63,55329279.06
202818,16071,0.090099056,8057554.37,89429953.78
