GRIDCODE,CVIDE,Fa,Area VEGxCELDA,AREA ENTIDADxMUN
199663,11002,0.00522106,376017.39,72019359.14
199663,11002,0.005087218,2733605.65,537347805.4
199664,16110,0.008628328,604256.47,70031697.49
199664,16110,0.016137601,3230918.04,200210552.9
199664,11002,0.044898696,3233575.29,72019359.14
199664,11002,0.003594041,1931250.20,537347805.4
199665,11002,0.124966399,9000000.00,72019359.14
199666,11002,0.124966399,9000000.00,72019359.14
199667,11002,0.043825573,3156289.67,72019359.14
199673,16050,0.00713244,2161462.07,303046664.4
199673,11038,0.005657263,533282.05,94265022.89
199674,16050,0.003779679,1145419.19,303046664.4
199674,16050,0.004537032,642539.36,141621072.5
199674,11038,0.029990181,2827025.10,94265022.89
199674,11038,0.01260681,1188381.25,94265022.89
199675,16050,0.000784145,237632.55,303046664.4
199675,16050,0.042324335,5994017.69,141621072.5
199675,16050,0.006557268,1987158.11,303046664.4
199675,11038,0.006630568,625030.64,94265022.89
199675,11038,0.044299774,156161.02,3525097.377
199676,16050,0.018200903,2577631.46,141621072.5
199676,16050,0.021192672,6422368.54,303046664.4
199677,16050,0.033383622,4727824.39,141621072.5
199677,16050,0.001648808,499665.85,303046664.4
199678,16050,0.012170612,1723615.14,141621072.5
199681,16050,0.00045895,139083.32,303046664.4
199682,16050,0.001274399,386202.35,303046664.4
199682,16017,0.01567132,3993387.53,254821380.9
199683,16017,0.017182915,4378574.12,254821380.9
199684,16017,0.031447824,8013577.85,254821380.9
199685,16017,0.035318857,9000000.00,254821380.9
199686,16017,0.029982996,7640308.33,254821380.9
199687,15085,0.005926803,1353039.12,228291559.5
199687,16017,0.016083396,4098393.25,254821380.9
199688,15085,0.037580684,8579352.97,228291559.5
199689,15085,0.01567026,3577388.06,228291559.5
199689,15085,0.023753011,5422611.94,228291559.5
199690,15085,0.004989968,1139167.60,228291559.5
199690,15085,0.034433303,7860832.40,228291559.5
199691,15085,0.038374663,8760611.59,228291559.5
199691,15085,0.001048608,239388.41,228291559.5
199692,15085,0.025597752,5843750.70,228291559.5
199693,15085,0.002523448,576081.79,228291559.5
199693,15001,0.000612241,124390.20,203171976.3
199693,15001,0.017712942,3598773.34,203171976.3
199694,15085,0.001470247,335644.90,228291559.5
199694,15001,0.019006767,3861642.46,203171976.3
199694,15001,0.02298347,4669596.94,203171976.3
